Transaction Date,Transaction Type,Sort Code,Account Number,Transaction Description,Debit Amount,Credit Amount,Balance,
08/06/2017,DEB,'12-34-56,12345678,DADDY DONKEY,6.95,,1839.11
08/06/2017,DEB,'12-34-56,12345678,TFL.GOV.UK/CP,6.6,,1846.06
07/06/2017,DEB,'12-34-56,12345678,PRET A MANGER,5.9,,1859.26
07/06/2017,DEB,'12-34-56,12345678,TFL.GOV.UK/CP,6.6,,1852.66
07/06/2017,DEB,'12-34-56,12345678,SAINSBURYS S/MKTS,2.4,,1865.16
06/06/2017,DEB,'12-34-56,12345678,NON-STG PURCH FEE,1,,1867.56
06/06/2017,DEB,'12-34-56,12345678,NON-STG TRANS FEE,0.67,,1868.56
06/06/2017,DEB,'12-34-56,12345678,DATAQUEST BASIC,22.57,,1869.23
06/06/2017,DEB,'12-34-56,12345678,TFL.GOV.UK/CP,6.6,,1891.8
06/06/2017,DEB,'12-34-56,12345678,MARKS&SPENCER PLC,3.1,,1898.4
05/06/2017,DEB,'12-34-56,12345678,GENERAL ASSEMBLY S,115,,1901.5
05/06/2017,DEB,'12-34-56,12345678,CO-OP GROUP FOOD,3.89,,2031.4
05/06/2017,DEB,'12-34-56,12345678,TFL.GOV.UK/CP,1.5,,2035.29
05/06/2017,DEB,'12-34-56,12345678,TFL.GOV.UK/CP,2.4,,2036.79
05/06/2017,DEB,'12-34-56,12345678,Treatwell UK,25,,2039.19
05/06/2017,DEB,'12-34-56,12345678,SAINSBURYS S/MKTS,4.59,,2064.19
05/06/2017,DD,'12-34-56,12345678,CANCER RESEARCH U,10,,2068.78
05/06/2017,DEB,'12-34-56,12345678,SAINSBURYS S/MKTS,14.9,,2016.5
02/06/2017,DEP,'12-34-56,12345678,CLUB LLOYDS WAIVED,,3,2078.78
02/06/2017,PAY,'12-34-56,12345678,CLUB LLOYDS FEE,3,,2075.78
02/06/2017,DEB,'12-34-56,12345678,LOOKFANTASTIC,11.25,,2078.78
02/06/2017,DEB,'12-34-56,12345678,THE POST OFFICE,9.35,,2090.03
02/06/2017,DEB,'12-34-56,12345678,CO-OP GROUP FOOD,6.99,,2099.38
02/06/2017,DEB,'12-34-56,12345678,TFL.GOV.UK/CP,5.3,,2106.37
02/06/2017,DEB,'12-34-56,12345678,OCADO RETAIL LIMIT,3.99,,2111.67
02/06/2017,DEB,'12-34-56,12345678,SAINSBURYS S/MKTS,3.35,,2115.66
02/06/2017,SO,'12-34-56,12345678,NAME SURNAME,400,,2119.01
01/06/2017,,'12-34-56,12345678,INTEREST (GROSS),,4.57,2519.01
01/06/2017,DEB,'12-34-56,12345678,TFL.GOV.UK/CP,6.6,,2522.79
01/06/2017,DEB,'12-34-56,12345678,MARKS&SPENCER PLC,2.8,,2529.39
01/06/2017,SO,'12-34-56,12345678,NAME SURNAME,,1500,2532.19
01/06/2017,DEB,'12-34-56,12345678,TESCO STORES 5581,8.35,,2514.44
31/05/2017,DEB,'12-34-56,12345678,MARKS&SPENCER PLC,7.7,,1032.19
31/05/2017,DEB,'12-34-56,12345678,TFL.GOV.UK/CP,5.3,,1039.89
30/05/2017,DEB,'12-34-56,12345678,SAINSBURYS S/MKTS,6.55,,1045.19
30/05/2017,DEB,'12-34-56,12345678,Amazon UK Marketpl,4.78,,1051.74
30/05/2017,DEB,'12-34-56,12345678,MARKS&SPENCER PLC,20.5,,1056.52
30/05/2017,DEB,'12-34-56,12345678,ROBERT DYAS HOLDNG,9.43,,1077.02
30/05/2017,DEB,'12-34-56,12345678,WAITROSE 492,2.31,,1086.45
30/05/2017,DEB,'12-34-56,12345678,SAINSBURYS S/MKTS,1,,1088.76
30/05/2017,DEB,'12-34-56,12345678,J SAINSBURYS LTD,0.5,,1089.76
30/05/2017,DEB,'12-34-56,12345678,MARKS&SPENCER PLC,29.95,,1090.26
30/05/2017,DEB,'12-34-56,12345678,TFL.GOV.UK/CP,5.3,,1120.21
30/05/2017,DEB,'12-34-56,12345678,PRET A MANGER,3.75,,1125.51
30/05/2017,DEB,'12-34-56,12345678,MICROSOFT   *ONEDR,1.99,,1129.26
26/05/2017,DEB,'12-34-56,12345678,Amazon UK Marketpl,29.99,,1131.25
23/05/2017,DEB,'12-34-56,12345678,MONZO,200,,1161.24
19/05/2017,DEB,'12-34-56,12345678,WLY*COMPLETESAVE.C,15,,1361.24
18/05/2017,DEB,'12-34-56,12345678,MARKS&SPENCER PLC,26.4,,1376.24
18/05/2017,DEB,'12-34-56,12345678,TFL.GOV.UK/CP,5.3,,1402.64
